timestamp_ns,ekf_x,ekf_y,ekf_theta,gt_x,gt_y,gt_theta,odom_x,odom_y,odom_theta,pos_error,orient_error,P_xx,P_yy,P_thetatheta
1.07132E+11,14.616,5.669,0.252,14.306,6.113,0.295,14.455,5.89,0.251,0.542,-0.043,0.002,0,0.004
1.09136E+11,14.992,5.778,0.322,14.677,6.241,0.361,14.832,6.002,0.318,0.56,-0.04,0.001,0,0.004
1.11137E+11,15.322,5.877,0.441,14.989,6.374,0.491,15.148,6.121,0.447,0.598,-0.05,0.001,0,0.002
1.1314E+11,15.659,6.074,0.62,15.307,6.584,0.659,15.479,6.32,0.618,0.619,-0.039,0.002,0.001,0.006
1.1514E+11,15.981,6.319,0.698,15.606,6.837,0.733,15.789,6.561,0.692,0.639,-0.035,0.001,0.001,0.006
1.1714E+11,16.269,6.566,0.752,15.891,7.108,0.792,16.085,6.82,0.751,0.661,-0.04,0.003,0.002,0.006
1.19145E+11,16.352,6.644,0.776,15.969,7.188,0.814,16.165,6.896,0.772,0.665,-0.038,0.003,0.003,0.006
1.2115E+11,16.489,6.728,0.772,16.085,7.31,0.805,16.284,7.012,0.763,0.709,-0.033,0.001,0.001,0.004
1.23156E+11,16.78,7.006,0.752,16.365,7.595,0.784,16.575,7.284,0.742,0.721,-0.032,0.001,0.001,0.006
1.25159E+11,17.038,7.242,0.736,16.61,7.836,0.768,16.83,7.514,0.727,0.732,-0.033,0.001,0.001,0.006
1.27165E+11,17.33,7.499,0.709,16.9,8.109,0.742,17.132,7.775,0.7,0.746,-0.033,0.002,0.001,0.008
1.2917E+11,17.634,7.756,0.694,17.197,8.377,0.728,17.439,8.029,0.686,0.76,-0.034,0.002,0.001,0.008
1.31176E+11,17.872,7.896,0.432,17.445,8.566,0.428,17.692,8.206,0.379,0.795,0.004,0.002,0,0.006
1.33181E+11,18.212,7.929,-0.25,17.777,8.598,-0.24,18.022,8.219,-0.297,0.797,-0.01,0.004,0,0.01
1.35189E+11,18.515,7.756,-0.806,18.022,8.461,-0.766,18.254,8.072,-0.824,0.86,-0.04,0.002,0.002,0.008
1.37198E+11,18.529,7.741,-0.807,18.022,8.461,-0.766,18.254,8.072,-0.824,0.881,-0.042,0.002,0.002,0.01
