timestamp,scan_number,cov_x,cov_y,cov_theta,std_x,std_y,std_theta,pos_uncertainty,orient_uncertainty,active_landmarks,state_size,landmark_updates,total_landmark_obs
4.594,1,0.10030000000000001,0.1,0.10001500000000002,0.31670175244226234,0.31622776601683794,0.31625148220996535,0.447548880012005,0.31625148220996535,9,21,0,9
4.695,2,0.10080000000000003,0.1,0.10004000000000005,0.31749015732775093,0.31622776601683794,0.31629100524675063,0.4481071300481616,0.31629100524675063,10,23,0,10
4.786,3,0.10130000000000004,0.1,0.10006500000000007,0.318276609256791,0.31622776601683794,0.31633052334544015,0.44866468548349114,0.31633052334544015,10,23,0,10
4.888,4,0.10180000000000006,0.1,0.1000900000000001,0.31906112267087644,0.31622776601683794,0.31637003650788437,0.44922154890432414,0.31637003650788437,10,23,0,10
4.991,5,0.10230000000000007,0.1,0.10011500000000012,0.31984371183438964,0.31622776601683794,0.3164095447359326,0.4497777228809805,0.3164095447359326,10,23,0,10
5.098,6,0.10280000000000009,0.1,0.10014000000000015,0.32062439083762806,0.31622776601683794,0.3164490480314329,0.4503332099679082,0.3164490480314329,10,23,0,10
5.595,7,9.99028182701652e-05,9.990009990009991e-05,9.990023942537909e-05,0.009995139732398201,0.009995003746877732,0.009995010726626515,0.014135166011415116,0.009995010726626515,10,23,0,10
5.665,8,0.00014997569036037726,4.997501488981727e-05,5.4975047409921144e-05,0.012246456236821216,0.0070693008770186935,0.007414515992964149,0.014140392683733877,0.007414515992964149,10,23,0,10
5.723,9,0.0001599961083909853,3.3322227996566034e-05,4.0473483201787864e-05,0.012648956810385008,0.005772540861402891,0.006361877333129574,0.013903896446232305,0.006361877333129574,10,23,0,10
5.778,10,0.00016153788490042372,2.4993752826979462e-05,3.381218738176255e-05,0.01270975550120551,0.004999375243665899,0.005814824793728746,0.013657658574126211,0.005814824793728746,10,23,0,10
5.836,11,0.00016176462132049704,1.9996001280524426e-05,3.026839149957044e-05,0.012718672152410291,0.004471688862222463,0.005501671700453458,0.013481862727420921,0.005501671700453458,10,23,0,10
5.892,12,0.00016179774046600116,1.666388968140521e-05,2.823540741628812e-05,0.01271997407489501,0.004082142780624559,0.0053136999742446995,0.01335895318306814,0.0053136999742446995,10,23,0,10
5.942,13,0.00016180257311317173,1.4283674195619297e-05,2.7018417522258938e-05,0.01272016403640974,0.003779374841904319,0.005197924347492847,0.013269749331045822,0.005197924347492847,10,23,0,10
5.991,14,0.0001618032783711744,1.2498437968397251e-05,2.627125975059812e-05,0.012720191758427795,0.00353531299440336,0.0051255497022854165,0.01320233753316327,0.0051255497022854165,10,23,0,10
6.056,15,0.00016180338022750174,1.1109877954373403e-05,2.5805415105929266e-05,0.012720195762153259,0.0033331483546901125,0.005079903060682287,0.013149648595376043,0.005079903060682287,10,23,0,10
6.111,16,0.00016180339515209548,9.999001706480437e-06,2.551216562037562e-05,0.012720196348802776,0.003162119812164055,0.005050956901456953,0.013107341334480303,0.005050956901456953,10,23,0,10
6.195,17,0.0011618033858730183,9.090095778620411e-06,7.532644843173192e-05,0.03408523706640484,0.0030149785701759826,0.008679081082219011,0.03421832084792646,0.008679081082219011,10,23,0,10
6.289,18,0.0005920748246816565,8.332649761261992e-06,6.796353978850048e-05,0.02433258771034549,0.0028866329453641993,0.008244000229773195,0.024503213553387613,0.008244000229773195,10,23,0,10
6.388,19,0.000585550690177323,7.691721787844979e-06,6.546326951318131e-05,0.02419815468537473,0.0027733953536856187,0.008090937492848484,0.024356568148348978,0.008090937492848484,10,23,0,10
6.483,20,0.0004854131836095873,7.142350527000479e-06,5.9563626239094895e-05,0.022032094399071264,0.002672517638295485,0.00771774748479729,0.022193592186407946,0.00771774748479729,10,23,0,10
