timestamp_ns,ekf_x,ekf_y,ekf_theta,gt_x,gt_y,gt_theta,odom_x,odom_y,odom_theta,pos_error,orient_error,P_xx,P_yy,P_thetatheta,,
1.07096E+11,15.14,6.692,0.863,15.259,6.557,0.841,15.237,6.558,0.842,0.179,0.022,0,0,0,,0.032041
1.09114E+11,15.388,6.992,0.896,15.519,6.861,0.874,15.497,6.863,0.875,0.185,0.023,0,0,0,,0.034225
1.11132E+11,15.636,7.306,0.911,15.775,7.171,0.888,15.751,7.171,0.889,0.193,0.023,0,0,0,,0.037249
1.13138E+11,15.789,7.453,0.77,15.918,7.324,0.729,15.891,7.321,0.731,0.183,0.04,0,0,0,,0.033489
1.15144E+11,16.088,7.671,0.514,16.231,7.536,0.488,16.204,7.533,0.487,0.197,0.026,0,0,0,,0.038809
1.17152E+11,16.429,7.772,0.416,16.545,7.679,0.39,16.516,7.675,0.388,0.149,0.026,0,0,0,,0.022201
1.19155E+11,16.736,7.955,0.648,16.87,7.862,0.629,16.842,7.857,0.627,0.163,0.019,0,0,0,,0.026569
1.21161E+11,17.02,8.212,0.798,17.162,8.113,0.771,17.137,8.11,0.771,0.173,0.027,0,0,0,,0.029929
1.23162E+11,17.261,8.427,0.486,17.418,8.321,0.419,17.39,8.315,0.411,0.19,0.067,0,0,0,,0.0361
1.25164E+11,17.595,8.476,-0.202,17.749,8.347,-0.259,17.715,8.338,-0.268,0.201,0.057,0,0,0,,0.040401
1.27172E+11,17.885,8.331,-0.759,17.991,8.206,-0.785,17.951,8.197,-0.796,0.164,0.026,0,0,0,,0.026896
1.29176E+11,17.879,8.337,-0.758,17.991,8.206,-0.785,17.951,8.197,-0.796,0.173,0.027,0,0,0,,0.029929
,,,,,,,,,,,,,,,,0.022157806
,,,,,,,,,,,,,,,,0.148854985
